success,trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,subject_id,stimulus,key_press,prompt,response,choice_outcomes,context_n,context_img_id,trial_n,pR_red,pR_white,pR_black,outcome,phase,passed,island_num,context_im,contextArray_ind,pRew_Red,pRew_White,pRew_Black
,do_trial,130,383457,0.0-75.0-0.0,271.19999999995343,,,,,,49,1,0,0,0,countryside,24,0.5775174379095532,0.25167723930415753,0.1626779008220645,1,learn,,,,,,,
,html-keyboard-response,131,384460,0.0-75.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,132,387242,0.0-76.0-0.0,274.0999999998603,,,,,,49,1,1,0,0,countryside,25,0.5880984301442541,0.3973098872297193,0.14501608785757172,1,learn,,,,,,,
,html-keyboard-response,133,388245,0.0-76.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,134,390969,0.0-77.0-0.0,216.80000000004657,,,,,,49,1,0,0,0,countryside,26,0.6730135982356107,0.5854222368218726,0.12536340964625114,1,learn,,,,,,,
,html-keyboard-response,135,391972,0.0-77.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,136,394715,0.0-78.0-0.0,237,,,,,,49,0,1,0,0,countryside,27,0.5286746426700801,0.5475657467155352,0.2410564235829523,0,learn,,,,,,,
,html-keyboard-response,137,395717,0.0-78.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,138,398443,0.0-79.0-0.0,219.9000000001397,,,,,,49,1,0,1,0,countryside,28,0.5327015175556052,0.3171660986163062,0.1749540815408936,1,learn,,,,,,,
,html-keyboard-response,139,399445,0.0-79.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,140,402183,0.0-80.0-0.0,231,,,,,,49,1,0,0,0,countryside,29,0.5007153008674606,0.41550054045088675,0.06655294607635741,1,learn,,,,,,,
,html-keyboard-response,141,403186,0.0-80.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,attention_check,142,403403,0.0-81.0-0.0,216,,,<div style='position:relative; margin-top: 600px;'><p>Before we set sail — press the <b>Z</b> key to continue!</p></div>,49,,,,,,,,,,,,false,,,,,,
,do_bye,143,404911,0.0-81.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,break,144,409024,0.0-81.0-2.0,4112.100000000093,,,<div class='center'><p>Time to take a quick break! You have 2 minutes to rest, but you can move on sooner if you'd like.</p><p> Press the <b>space bar</b> to continue.</p></div>,32,,,,,,,,,,,,,,,,,,
,do_travel,145,418029,0.0-82.0-0.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_welcome,146,422041,0.0-82.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_trial,147,425896,0.0-83.0-0.0,1346.3000000000466,,,,,,51,1,0,0,1,forest,30,1,0.2998634479436696,0.1067213363330911,0,learn,,,,,,,
,html-keyboard-response,148,426899,0.0-83.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,149,429705,0.0-84.0-0.0,299.39999999990687,,,,,,50,1,0,0,1,forest,31,1,0.38546795626676345,0.06352081087825565,0,learn,,,,,,,
,html-keyboard-response,150,430708,0.0-84.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,151,433470,0.0-85.0-0.0,254.39999999990687,,,,,,49,1,0,0,1,forest,32,1,0.21800638343735393,0.14855109273220718,1,learn,,,,,,,
,html-keyboard-response,152,434473,0.0-85.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,153,437227,0.0-86.0-0.0,246.9000000001397,,,,,,49,1,0,0,1,forest,33,0.7333904060814581,0.25311071934051543,0.10357073160878251,1,learn,,,,,,,
,html-keyboard-response,154,438230,0.0-86.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,155,440986,0.0-87.0-0.0,248.19999999995343,,,,,,49,1,1,1,1,forest,34,0.6036650136125996,0.18366152536287841,0.15076181782843795,1,learn,,,,,,,
,html-keyboard-response,156,441988,0.0-87.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,157,444714,0.0-88.0-0.0,218.5,,,,,,49,0,0,0,1,forest,35,0.737256037986482,0.14650554453229558,0.11967829002898386,0,learn,,,,,,,
,html-keyboard-response,158,445717,0.0-88.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,159,448475,0.0-89.0-0.0,251.39999999990687,,,,,,49,1,0,1,1,forest,36,0.7383581422614803,0.21974115812574602,0.2522047962978956,1,learn,,,,,,,
,html-keyboard-response,160,449478,0.0-89.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,161,452232,0.0-90.0-0.0,247,,,,,,49,0,0,0,1,forest,37,0.7356046852984893,0.308165234832079,0.1967230485266693,0,learn,,,,,,,
,html-keyboard-response,162,453235,0.0-90.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,163,455981,0.0-91.0-0.0,238.20000000018626,,,,,,49,1,0,0,1,forest,38,0.7467739007238763,0.22019645486372055,0.19549934292679336,1,learn,,,,,,,
,html-keyboard-response,164,456984,0.0-91.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,165,459676,0.0-92.0-0.0,186.19999999995343,,,,,,49,1,1,0,1,forest,39,0.8212273606320584,0.26588788512394546,0.1668787797426326,1,learn,,,,,,,
,html-keyboard-response,166,460679,0.0-92.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,167,463419,0.0-93.0-0.0,234.30000000004657,,,,,,49,1,0,0,1,forest,40,0.778408923815565,0.23373470742857547,0.08530100425874272,1,learn,,,,,,,
,html-keyboard-response,168,464422,0.0-93.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,169,467202,0.0-94.0-0.0,272.39999999990687,,,,,,49,0,1,0,1,forest,41,0.6500617575897669,0.21901652859300186,0.07360380777787699,0,learn,,,,,,,
,html-keyboard-response,170,468205,0.0-94.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,171,470980,0.0-95.0-0.0,268.69999999995343,,,,,,49,0,0,0,1,forest,42,0.5122018106585969,0.38160610129169087,0.1437163617121564,0,learn,,,,,,,
,html-keyboard-response,172,471983,0.0-95.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,173,474730,0.0-96.0-0.0,241.89999999990687,,,,,,50,0,0,0,1,forest,43,0.3666596621056823,0.4514416240025289,0.07561291208200716,0,learn,,,,,,,
,html-keyboard-response,174,475733,0.0-96.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,175,478517,0.0-97.0-0.0,276.5,,,,,,51,1,0,0,1,forest,44,0.3298441934875092,0.6529633328755026,0.15259198429974333,0,learn,,,,,,,
,html-keyboard-response,176,479519,0.0-97.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,177,482213,0.0-98.0-0.0,187.39999999990687,,,,,,49,1,1,0,1,forest,45,0.22483764460177358,0.737180452791477,0.24423731078967173,1,learn,,,,,,,
,html-keyboard-response,178,483215,0.0-98.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,179,485966,0.0-99.0-0.0,244.4000000001397,,,,,,49,0,1,1,1,forest,46,0.0943921194556999,0.5423367705219581,0.38428939116199673,0,learn,,,,,,,
,html-keyboard-response,180,486970,0.0-99.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,181,489710,0.0-100.0-0.0,233.69999999995343,,,,,,49,0,0,0,1,forest,47,0.143265123721828,0.6078801695986115,0.511529006420362,0,learn,,,,,,,
,html-keyboard-response,182,490713,0.0-100.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,183,494158,0.0-101.0-0.0,939.3000000000466,,,,,,49,0,0,1,1,forest,48,0.120828418813234,0.6053218015757176,0.6189997015301715,0,learn,,,,,,,
,html-keyboard-response,184,495162,0.0-101.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,185,497891,0.0-102.0-0.0,222.80000000004657,,,,,,51,0,1,0,1,forest,49,0.19029747370518346,0.6028823739636888,0.49081602141064573,0,learn,,,,,,,
,html-keyboard-response,186,498894,0.0-102.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,187,501640,0.0-103.0-0.0,240.0999999998603,,,,,,50,0,1,1,1,forest,50,0.1164183558875627,0.6630080664681683,0.5148284341107902,1,learn,,,,,,,
,html-keyboard-response,188,502643,0.0-103.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,189,505404,0.0-104.0-0.0,254.89999999990687,,,,,,50,0,1,0,1,forest,51,0.12935022759174986,0.6103117145550061,0.37224782672188533,1,learn,,,,,,,
,html-keyboard-response,190,506407,0.0-104.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,191,509108,0.0-105.0-0.0,195.89999999990687,,,,,,50,0,1,1,1,forest,52,0.0817739880646372,0.6365550724186197,0.31198358031466966,1,learn,,,,,,,
,html-keyboard-response,192,510111,0.0-105.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,193,512847,0.0-106.0-0.0,228.69999999995343,,,,,,50,0,1,0,1,forest,53,0.053322346618244976,0.7763053592746347,0.31864327859935815,1,learn,,,,,,,
,html-keyboard-response,194,513850,0.0-106.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,195,516615,0.0-107.0-0.0,259.19999999995343,,,,,,50,0,1,0,1,forest,54,0.13523810831633185,0.833825419551397,0.2465491024524199,1,learn,,,,,,,
,html-keyboard-response,196,517619,0.0-107.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,197,520356,0.0-108.0-0.0,230.80000000004657,,,,,,50,0,1,1,1,forest,55,0.09062519725680328,0.7323688007648086,0.4276418035422204,1,learn,,,,,,,
,html-keyboard-response,198,521360,0.0-108.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,199,524020,0.0-109.0-0.0,152.70000000018626,,,,,,50,0,0,0,1,forest,56,0.06886656941403768,0.5301050047531963,0.36951756871258995,0,learn,,,,,,,
,html-keyboard-response,200,525023,0.0-109.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,201,527734,0.0-110.0-0.0,203.5,,,,,,50,0,1,0,1,forest,57,0.2187217535665783,0.41514010861269623,0.2527074156005659,1,learn,,,,,,,
,html-keyboard-response,202,528737,0.0-110.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,203,531738,0.0-111.0-0.0,495.29999999981374,,,,,,50,0,1,0,1,forest,58,0.16306874708664265,0.6233981053218028,0.26991884427596674,1,learn,,,,,,,
,html-keyboard-response,204,532741,0.0-111.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,205,535577,0.0-112.0-0.0,328.69999999995343,,,,,,50,0,0,0,1,forest,59,0.09207478672011324,0.48791201593411315,0.37883177486088704,0,learn,,,,,,,
,html-keyboard-response,206,536580,0.0-112.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,207,539320,0.0-113.0-0.0,233.30000000004657,,,,,,50,1,0,0,1,forest,60,0.08618262495340898,0.44493622604784494,0.4611659386081886,0,learn,,,,,,,
,html-keyboard-response,208,540323,0.0-113.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,209,543124,0.0-114.0-0.0,294.20000000018626,,,,,,50,1,0,1,1,forest,61,0.218425394348514,0.49075851532543235,0.43173675231290787,0,learn,,,,,,,
,html-keyboard-response,210,544128,0.0-114.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,211,546855,0.0-115.0-0.0,219.70000000018626,,,,,,51,0,1,1,1,forest,62,0.24064413960057385,0.5840707084153212,0.3997146615698843,1,learn,,,,,,,
,html-keyboard-response,212,547858,0.0-115.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,213,550629,0.0-116.0-0.0,263.5,,,,,,51,0,1,0,1,forest,63,0.2676988838424616,0.6555571018435413,0.33953663411227836,0,learn,,,,,,,
,html-keyboard-response,214,551632,0.0-116.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,215,554284,0.0-117.0-0.0,144.89999999990687,,,,,,51,0,0,0,1,forest,64,0.29171223297455234,0.538219504060664,0.3540193881298424,0,learn,,,,,,,
,html-keyboard-response,216,555287,0.0-117.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,217,558083,0.0-118.0-0.0,289.5,,,,,,49,0,1,0,1,forest,65,0.2178363330321705,0.5387892493640896,0.37469706942385117,0,learn,,,,,,,
,html-keyboard-response,218,559085,0.0-118.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,219,561793,0.0-119.0-0.0,200.89999999990687,,,,,,50,0,0,0,1,forest,66,0.14054340347076846,0.45175404213466525,0.336138274071302,0,learn,,,,,,,
,html-keyboard-response,220,562796,0.0-119.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,221,565453,0.0-120.0-0.0,148.30000000004657,,,,,,51,0,0,1,1,forest,67,0.09136945369286031,0.4758028868466436,0.17070688997858185,1,learn,,,,,,,
,html-keyboard-response,222,566456,0.0-120.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,223,569185,0.0-121.0-0.0,220.60000000009313,,,,,,51,0,0,0,1,forest,68,0.09254747876652035,0.5424429228123003,0.29018037316676554,0,learn,,,,,,,
,html-keyboard-response,224,570188,0.0-121.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,225,573036,0.0-122.0-0.0,341.5999999998603,,,,,,51,0,1,0,1,forest,69,0.21141335026325153,0.5396454207394772,0.4547028718931142,0,learn,,,,,,,
,html-keyboard-response,226,574039,0.0-122.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,attention_check,227,574313,0.0-123.0-0.0,273.30000000004657,,,<div style='position:relative; margin-top: 600px;'><p>Before we set sail — press the <b>Z</b> key to continue!</p></div>,51,,,,,,,,,,,,false,,,,,,
,do_bye,228,575821,0.0-123.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,break,229,577577,0.0-123.0-2.0,1753.5,,,<div class='center'><p>Time to take a quick break! You have 2 minutes to rest, but you can move on sooner if you'd like.</p><p> Press the <b>space bar</b> to continue.</p></div>,32,,,,,,,,,,,,,,,,,,
,do_travel,230,586581,0.0-124.0-0.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_welcome,231,590595,0.0-124.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_trial,232,594312,0.0-125.0-0.0,1209.8999999999069,,,,,,49,0,1,1,2,highway,70,0.23175607899255224,1,0.3805288844389099,0,learn,,,,,,,
,html-keyboard-response,233,595315,0.0-125.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,234,598095,0.0-126.0-0.0,274.60000000009313,,,,,,50,0,1,0,2,highway,71,0.1484842427081344,1,0.3990048218690118,1,learn,,,,,,,
,html-keyboard-response,235,599099,0.0-126.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,236,601879,0.0-127.0-0.0,274.0999999998603,,,,,,50,0,1,0,2,highway,72,0.226552027642486,0.8763364958573588,0.40328593759657094,1,learn,,,,,,,
,html-keyboard-response,237,602882,0.0-127.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,238,605651,0.0-128.0-0.0,261.10000000009313,,,,,,50,0,1,0,2,highway,73,0.3364763618468116,0.8042542115901116,0.37517104833577364,1,learn,,,,,,,
,html-keyboard-response,239,606653,0.0-128.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,240,609386,0.0-129.0-0.0,227.5999999998603,,,,,,50,0,0,1,2,highway,74,0.24218227004871154,0.5914111422022278,0.34032227329554515,0,learn,,,,,,,
,html-keyboard-response,241,610389,0.0-129.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,242,613000,0.0-130.0-0.0,105.60000000009313,,,,,,50,0,1,0,2,highway,75,0.16228917306977045,0.4964714955084408,0.33355693825006816,1,learn,,,,,,,
,html-keyboard-response,243,614003,0.0-130.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,244,616769,0.0-131.0-0.0,258.0999999998603,,,,,,50,0,0,1,2,highway,76,0.10150195342480672,0.42661110360988524,0.2316238647768854,0,learn,,,,,,,
,html-keyboard-response,245,617772,0.0-131.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,246,620484,0.0-132.0-0.0,204.70000000018626,,,,,,50,1,1,0,2,highway,77,0.2661890390898885,0.5705671852778503,0.21959845749431822,1,learn,,,,,,,
,html-keyboard-response,247,621487,0.0-132.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,248,624209,0.0-133.0-0.0,215.5,,,,,,50,0,1,0,2,highway,78,0.21767895426182654,0.5806838543398205,0.3341378287086335,1,learn,,,,,,,
,html-keyboard-response,249,625212,0.0-133.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,250,627902,0.0-134.0-0.0,182,,,,,,50,0,0,0,2,highway,79,0.08456309067930731,0.6042484393656429,0.24199126603736137,0,learn,,,,,,,
,html-keyboard-response,251,628904,0.0-134.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,252,631661,0.0-135.0-0.0,250.0999999998603,,,,,,50,0,1,0,2,highway,80,0.2302076484594472,0.5685407593927938,0.3323260025152871,1,learn,,,,,,,
,html-keyboard-response,253,632663,0.0-135.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,254,635375,0.0-136.0-0.0,205.80000000004657,,,,,,50,1,0,0,2,highway,81,0.29421718530146307,0.500690759815147,0.2558736347834515,0,learn,,,,,,,
,html-keyboard-response,255,636378,0.0-136.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,256,639006,0.0-137.0-0.0,121.5999999998603,,,,,,50,0,0,0,2,highway,82,0.2908202787847929,0.3024603488156808,0.5140499758230562,0,learn,,,,,,,
,html-keyboard-response,257,640009,0.0-137.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,258,642752,0.0-138.0-0.0,236.30000000004657,,,,,,50,0,0,0,2,highway,83,0.2513365095674422,0.2838173209027486,0.5161876415751524,0,learn,,,,,,,
,html-keyboard-response,259,643755,0.0-138.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,260,646499,0.0-139.0-0.0,238.0999999998603,,,,,,51,0,0,1,2,highway,84,0.35647760184811544,0.28488996794243954,0.595193104002299,1,learn,,,,,,,
,html-keyboard-response,261,647503,0.0-139.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,262,650246,0.0-140.0-0.0,236.89999999990687,,,,,,51,0,0,1,2,highway,85,0.3296082534123835,0.2430589168273073,0.5666781349312409,1,learn,,,,,,,
,html-keyboard-response,263,651249,0.0-140.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,264,653984,0.0-141.0-0.0,228.5,,,,,,51,0,0,0,2,highway,86,0.3431358553472768,0.18645384501290693,0.6361762664337173,0,learn,,,,,,,
,html-keyboard-response,265,654987,0.0-141.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,266,657511,0.0-142.0-0.0,18.5,,,,,,51,0,0,0,2,highway,87,0.43108907307893335,0.23578602434072232,0.5357909138360778,0,learn,,,,,,,
,html-keyboard-response,267,658514,0.0-142.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,268,661335,0.0-143.0-0.0,312.39999999990687,,,,,,50,0,0,0,2,highway,88,0.3822437731165711,0.07873548391643816,0.5480227858282694,0,learn,,,,,,,
,html-keyboard-response,269,662338,0.0-143.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,270,665064,0.0-144.0-0.0,218.79999999981374,,,,,,49,0,0,1,2,highway,89,0.2704478156766513,0.08159463850586443,0.6007103292966649,0,learn,,,,,,,
,html-keyboard-response,271,666067,0.0-144.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,272,668633,0.0-145.0-0.0,59.800000000046566,,,,,,51,1,0,1,2,highway,90,0.2302224206573955,0.13363204854054428,0.5147953134113328,1,learn,,,,,,,
,html-keyboard-response,273,669636,0.0-145.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,274,672398,0.0-146.0-0.0,255.60000000009313,,,,,,51,0,0,1,2,highway,91,0.27297462571476777,0.11605292719559168,0.6020563986507306,1,learn,,,,,,,
,html-keyboard-response,275,673401,0.0-146.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,276,676205,0.0-147.0-0.0,297.10000000009313,,,,,,51,0,0,1,2,highway,92,0.35807744381358175,0.1439066924206956,0.6497595771615722,1,learn,,,,,,,
,html-keyboard-response,277,677209,0.0-147.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,278,679927,0.0-148.0-0.0,212.39999999990687,,,,,,51,1,1,0,2,highway,93,0.47835705729336064,0.08182091671169019,0.6786345559103681,0,learn,,,,,,,
,html-keyboard-response,279,680931,0.0-148.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,280,683758,0.0-149.0-0.0,321.19999999995343,,,,,,51,0,0,1,2,highway,94,0.4149280914940377,0.20906988463461523,0.716890210278019,1,learn,,,,,,,
,html-keyboard-response,281,684761,0.0-149.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,282,687600,0.0-150.0-0.0,331.5,,,,,,51,0,0,1,2,highway,95,0.4305511242447652,0.246544265792011,0.664657468388391,1,learn,,,,,,,
,html-keyboard-response,283,688602,0.0-150.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,284,691402,0.0-151.0-0.0,293.60000000009313,,,,,,51,0,1,0,2,highway,96,0.3391861565077258,0.29196576641855126,0.5522241144841444,0,learn,,,,,,,
,html-keyboard-response,285,692405,0.0-151.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,286,695282,0.0-152.0-0.0,369,,,,,,51,0,1,0,2,highway,97,0.2866860324973857,0.29651942966718275,0.5862119173003907,0,learn,,,,,,,
,html-keyboard-response,287,696285,0.0-152.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,288,699137,0.0-153.0-0.0,345.30000000004657,,,,,,51,1,1,0,2,highway,98,0.27253750882102956,0.2303331117838361,0.6943795788841257,0,learn,,,,,,,
,html-keyboard-response,289,700139,0.0-153.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,290,702972,0.0-154.0-0.0,326.4000000001397,,,,,,51,0,0,1,2,highway,99,0.3626450551249807,0.16351511748861255,0.5853106332297038,1,learn,,,,,,,
,html-keyboard-response,291,703974,0.0-154.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,292,706843,0.0-155.0-0.0,362.80000000004657,,,,,,51,0,1,0,2,highway,100,0.4113894931771922,0.2987058762366221,0.5079579039355174,0,learn,,,,,,,
,html-keyboard-response,293,707846,0.0-155.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,294,710703,0.0-156.0-0.0,351,,,,,,51,0,0,0,2,highway,101,0.2948882428008921,0.16030080208228775,0.5730388920596708,0,learn,,,,,,,
,html-keyboard-response,295,711707,0.0-156.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,296,714541,0.0-157.0-0.0,327.9000000001397,,,,,,51,0,0,1,2,highway,102,0.24021277650656278,0.17709042491288898,0.5505496512392463,1,learn,,,,,,,
,html-keyboard-response,297,715544,0.0-157.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,298,718406,0.0-158.0-0.0,356,,,,,,51,0,1,0,2,highway,103,0.3702187825417178,0.22761226619808547,0.5653361679321757,0,learn,,,,,,,
,html-keyboard-response,299,719410,0.0-158.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,300,722163,0.0-159.0-0.0,247.0999999998603,,,,,,51,0,0,0,2,highway,104,0.32019793496288934,0.19594758441485874,0.6651798309100666,0,learn,,,,,,,
,html-keyboard-response,301,723165,0.0-159.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,302,725972,0.0-160.0-0.0,301.69999999995343,,,,,,51,0,0,1,2,highway,105,0.1609736961743583,0.15060360139609047,0.5776274992430845,1,learn,,,,,,,
,html-keyboard-response,303,726976,0.0-160.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,304,729873,0.0-161.0-0.0,392.5,,,,,,51,0,0,0,2,highway,106,0.18707879847634626,0.09824844142110217,0.5658698271057703,0,learn,,,,,,,
,html-keyboard-response,305,730876,0.0-161.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,306,733616,0.0-162.0-0.0,234.5,,,,,,51,0,0,0,2,highway,107,0.1871884474499752,0.22398281358658917,0.6562467652888471,0,learn,,,,,,,
,html-keyboard-response,307,734619,0.0-162.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,308,737907,0.0-163.0-0.0,781.2999999998137,,,,,,49,1,0,1,2,highway,108,0.2450982298660407,0.11023288696418018,0.714270609530873,1,learn,,,,,,,
,html-keyboard-response,309,738910,0.0-163.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,310,741677,0.0-164.0-0.0,259.9000000001397,,,,,,49,1,0,1,2,highway,109,0.13489827671231172,0.13843786200977404,0.6544210601838317,1,learn,,,,,,,
,html-keyboard-response,311,742680,0.0-164.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,attention_check,312,744461,0.0-165.0-0.0,1780,,,<div style='position:relative; margin-top: 600px;'><p>Before we set sail — press the <b>Z</b> key to continue!</p></div>,90,,,,,,,,,,,,true,,,,,,
,do_bye,313,745970,0.0-165.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,break,314,747343,0.0-165.0-2.0,1370.4000000001397,,,<div class='center'><p>Time to take a quick break! You have 2 minutes to rest, but you can move on sooner if you'd like.</p><p> Press the <b>space bar</b> to continue.</p></div>,32,,,,,,,,,,,,,,,,,,
,do_travel,315,756348,0.0-166.0-0.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_welcome,316,760364,0.0-166.0-1.0,null,,,,,,null,,,,,,,,,,,,,,,,
,do_trial,317,764252,0.0-167.0-0.0,1380.3999999999069,,,,,,49,0,0,1,3,coast,110,0.3360015568883945,0.268139186583591,1,0,learn,,,,,,,
,html-keyboard-response,318,765255,0.0-167.0-1.0,null,,,<p></p>,null,,,,,,,,,,,,,,,,,,
,do_trial,319,768055,0.0-168.0-0.0,292.70000000018626,,,,,,51,0,1,1,3,coast,111,0.346809693751991,0.19959232130810403,1,1,learn,,,,,,,
